No fortune for you today|Madame Naked
NOOOOOOOOO!!! NOT MY MELONS!!! *clutches his melons to his chest*|Effort
for gods sake people it's a game not a Japanese highschool entrance exam!|Ocha
practice safe wolfsex. use a bird.|Diana
You have no idea how good I am at stuffing alot in a small place Alan..|Pan
;__; I got off just now since morning.|Koori
:3 VOTE FOR ME PEOPLE, YOU CAN EAT ME ALL YOU WANT|Britty
It was funny i wa slike ahaAHHHHHHH Then I was gettin it out I manged to get it in another guys eyes lol.|Seto
*she laughs, her smile turning to a grin* I am rubbing off!|Celestial
He's gonna be black, bald, and 800 pounds of pure muscle, and totally my bitchboy.|Auken
I knew Diana's real name! ^.^ o.o I read her whois info. I tried fingering her, but that service isn't supported on modern servers.|Kehvarl
'Ello Kiryu, Koori. And no thanks. I can service myself juuuuuuuuust fine.|Deadsider
My tush has been assaulted far too many times by you today, Deek.|Kyosuke
That's gotta be Deadie's favorite link. He pulls it out whenever he gets the chance.|Alarice
